

          ---- Modelling Progress and Iteration Messages ----


 Description of column-headers and variables:
   ITERFL  = Iterations to solve flow
   ITERSQ  = Sequential transport-chemistry iterations
   MAXITCH = Maximum iterations to solve chemistry
   AVGITCH = Average iterations to solve chemistry
   DELTA-T = Current time step (days)
   Dt limit = Criterion limiting timestep
   Maxitch ID = Grid block: maximum chemical iterations

     STEP   Time(yr)   ITERFL ITERSQ MAXITCH AVGITCH Delta-t(day)  Dt limit       Maxitch ID
 ----------------------------------------------------------------------------------------------------------
     1000  0.287406E-01     2     1    250    2.785  0.21395E-01  Chm_Delta_t       0F3 1
     1010  0.295222E-01     2     1    245    3.065  0.53239E-01  Flo_Delta_t       0O5 1
     1020  0.298945E-01     2     1    245    2.830  0.11923E-01  Flo_Delta_t       0Jk 1
     1024  0.301170E-01     2     1    242    3.007  0.31208E-01  Flo_Delta_t       087 1
     1030  0.305017E-01     2     1    245    2.958  0.16178E-01  Chm_Delta_t       0Cw 1
     1040  0.309078E-01     2     1    249    3.026  0.40257E-01  Flo_Delta_t       0It 1
     1050  0.312226E-01     2     1    242    2.715  0.90154E-02  Flo_Delta_t       0En 1
     1060  0.318104E-01     2     1    248    3.063  0.22433E-01  Chm_Delta_t       0Pi 1
     1070  0.324519E-01     2     1    250    2.870  0.16746E-01  Chm_Delta_t       0Fq 1
     1076  0.328549E-01     2     1    251    2.565  0.45348E-02  Chm_Delta_t       0U9 1
     1080  0.329771E-01     2     1    232    2.676  0.65302E-02  Chm_Delta_t       0In 1
     1090  0.334300E-01     2     1    249    2.626  0.48747E-02  Chm_Delta_t       0QQ 1
     1100  0.342204E-01     2     1    254    2.737  0.12130E-01  Chm_Delta_t       0Q4 1
     1109  0.355928E-01     2     1    266    4.239  0.15949E+00  Flo_Delta_t       0QK 1
     1110  0.358548E-01     2     1    250    3.402  0.95693E-01  Chm_Delta_t       0Bv 1
     1120  0.364829E-01     2     1    253    2.678  0.64291E-02  Chm_Delta_t       04z 1
     1130  0.370815E-01     2     1    244    2.852  0.15998E-01  Chm_Delta_t       0D6 1
     1140  0.374256E-01     2     1    244    2.590  0.35827E-02  Flo_Delta_t       0G2 1
     1150  0.379614E-01     2     1    251    2.718  0.89148E-02  Flo_Delta_t       0Km 1
     1160  0.383308E-01     2     1    250    2.720  0.89953E-02  Flo_Delta_t       0EW 1
     1170  0.389021E-01     2     1    252    2.773  0.67150E-02  Chm_Delta_t       05F 1
